country,ccode,year,polity,gdppc,pop,continent,regime_type,infant_mort,life_exp,life_exp_female,life_exp_male
Afghanistan,700,1800.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1801.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1802.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1803.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1804.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1805.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1806.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1807.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1808.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1809.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1810.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1811.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1812.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1813.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1814.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1815.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1816.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1817.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1818.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1819.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1820.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1821.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1822.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1823.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1824.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1825.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1826.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1827.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1828.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1829.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1830.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1831.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1832.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1833.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1834.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1835.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1836.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1837.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1838.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1839.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1840.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1841.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1842.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1843.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1844.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1845.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1846.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1847.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1848.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1849.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1850.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1851.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1852.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1853.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1854.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1855.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1856.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1857.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1858.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1859.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1860.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1861.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1862.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1863.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1864.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1865.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1866.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1867.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1868.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1869.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1870.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1871.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1872.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1873.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1874.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1875.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1876.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1877.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1878.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1879.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1880.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1881.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1882.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1883.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1884.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1885.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1886.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1887.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1888.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1889.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1890.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1891.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1892.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1893.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1894.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
Afghanistan,700,1895.0,-6.0,211.2766816851353,15645730.44724445,Asia,authoritarian,,,,
